Name,Distillery/Brand,Region,Bottler,Country,Rating,Reviews,Capacity (cl),Alcohol Percentage %,Price,Awards,Palate,Finish,Nose,Alcohol Percentage
Nikka Whisky From the Barrel Cocktail Set,Nikka,Japan,Nikka,Japanese Whisky,0.0,0.0,50,51,55.33,0,"Rich, creamy notes of Autumnal fruit, oak, cinnamon and crÃ¨me caramel. A touch of smoke, notes of apple strudel and malt.","Long and spicy, notes of luscious stewed fruit.","Floral and fresh with notes of cinnamon and allspice, hints of light oak, punchy notes of pepper with a creamy caramel sweetness.","(50cl, 51.4%)"
Dumbarton 55 Year Old 1964 (cask 13767) - Xtra Old Particular (Douglas Laing),Dumbarton,Scotland,Douglas Laing,Scotch Whisky,5.0,1.0,70,44,1588.33,0,The palate is gentle yet lively with spice (ginger and nutmeg) and a milk chocolate richness.,"The finish is lengthy with poached pears, pistachios, marmalade on toast and crÃ¨me brÃ»lÃ©e.","The nose opens gloriously with Scottish honey, maple syrup, candied apples and a polished wood style.","(70cl, 44.6%)"
BenRiach 33 Year Old 1972,Benriach,Scotland,Benriach,Scotch Whisky,0.0,0.0,70,49,74.95,0,"Medium bodied. Oaky, green, fresh. Stone fruits, guava.","Good length, tannins develop.","Poised and nicely perfumed. Peppery freshness, hints of menthol. Estery.","(70cl, 49%)"
Ledaig 32 Year Old 1972,Tobermory,Scotland,Tobermory,Scotch Whisky,0.0,0.0,70,48,74.95,0,"Quite smooth and well-balanced. There is a fullness and depth with notes of exotic fruit salad; guava and pineapple with hints of lemon marmalade and winter spice, ground ginger and cinnamon.",Of good length with winter spice.,Full and rich. There is a gentle peat note with dry wood smoke and boiled sweets. Hints of estery fruits and menthol and iodine.,"(70cl, 48.5%)"
Glenmorangie 15 Year Old - The Cadboll Estate Batch No. 2,Glenmorangie,Scotland,Glenmorangie,Scotch Whisky,0.0,0.0,70,43,71.94,0,"Cereal sweetness, with drizzles of caramel, baked apples, warm oak, and baking spices.","The spices build, with oak lingering.","Oaky vanilla, fresh hay, a backing of gentle spice, and waxy orange peel.","(70cl, 43%)"
Braeval 13 Year Old 2009 (cask 804907) - Infrequent Flyers (Alistair Walker),Braeval (AKA Braes of Glenlivet),Scotland,Alistair Walker,Scotch Whisky,0.0,0.0,70,62,84.7,0,"Ripe cherries, plum crumble, dark chocolate, and a touch of spicy tobacco.","Peppery spice builds, with juicy berry notes lingering.","Blackberry jam, hawthorn tea, cacao nibs, and a touch of roasted almond.","(70cl, 62.5%)"
Ardbeg 22 Year Old - Twenty Something,Ardbeg,Scotland,Ardbeg,Scotch Whisky,0.0,0.0,70,46,74.95,0,"There's plenty of dark and orchard fruits among golden syrup, dark chocolate and black peppercorn. Cured meat and a little salinity emerge.","Long and sweet, with a touch of bittersweet smoke.","Lime cordial, orange marmalade and buttery pastry, with some TCP elements and refined smoke. Hints of vanilla and clove develop.","(70cl, 46.4%)"
Benriach 26 Year Old 1978,Benriach,Scotland,Benriach,Scotch Whisky,0.0,0.0,70,54,74.95,0,Thick. Well-restrained sweetness. Exotic fruit. A touch of grenadine develops. Boiled sweets.,"Creamy. Oily, nutty and punchy.","Sweetness. Manuka honey, comfiture dâabricot.","(70cl, 54%)"
Sheep Dip Amoroso Oloroso 1999,Sheep Dip,Scotland,Sheep Dip,Scotch Whisky,4.0,1.0,70,41,74.95,0,"CrÃ¨me anglais, vanilla pods in caster sugar, mild, rounded sherry spice and more toffee. In case you hadn't noticed, this is a sweet whisky.","More sweetness, but the finish is a touch peppery with some cinnamon.","Caramel, vanilla, hot caramel popcorn covered in butter, some maraschino cherry, light brown sugar and toffee brittle.","(70cl, 41.8%)"
Glenturret The Hosh (cask 106/2007),Glenturret,Scotland,Glenturret,Scotch Whisky,0.0,0.0,70,59,119.95,0,"Ginger snaps, crushed cinnamon sticks, a touch of earthy oak richness, rounded out by sweet chocolate notes.",Hints of dried fruit and earthy spice remain.,"Pancakes with maple syrup, rum-raisin ice cream, slightly savoury barley and some freshly-chopped kitchen herbs.","(70cl, 59.4%)"
