Name,Distillery/Brand,Region,Bottler,Country,Rating,Reviews,Capacity (cl),Alcohol Percentage %,Price,Awards,Palate,Finish,Nose,Alcohol Percentage
Nc'nean Organic Single Malt Whisky,Nc'nean,Scotland,Nc'nean,Scotch Whisky,0.0,0.0,70,46,44.95,0,"Tangy tropical fruits aplenty here, with charred pineapple and drizzles of honey. Vanilla takes the lead bringing notes of creamy fudge, with hints of ginger and stewed berries resting beneath.","Dark chocolate, candied orange, buttered shortbread, and toasted, oaken spice.","Barley sugar sweeties and orange oil lead the way, with notes of apricot jam and summer berries joining. Biscuity malt rests beneath, with a touch of vanilla.","(70cl, 46%)"
Royal Brackla 11 Year Old 2011 Single Cask (Master of Malt),Brackla,Scotland,Master of Malt,Scotch Whisky,4.5,3.0,70,60,49.95,0,"It makes a royal entrance with huge helpings of juicy oak and sweet, roasted barley. Maple syrup, praline and pepper tangle while vanilla cream and poached plums joined by creamy notes of Caramac.","Malt and spice take hold, with tickles of nutmeg and crystalised ginger, slightly burnt biscuits, chocolate toffees, and robust oak.","Gorgeously rich, sweet malt, chocolate caramel Digestive biscuits, honeyed almonds, and cherry Madeira cake. More cooked stone fruits join soft chocolate ice cream.","(70cl, 60.6%)"
Glenmorangie 18 Year Old Extremely Rare,Glenmorangie,Scotland,Glenmorangie,Scotch Whisky,4.5,133.0,70,43,111.95,9,"The palate is tropical and creamy with nectarines in yoghurt, acacia honey, peaches in cream and butterscotch.",Ends on tangy oak and grilled grapefruit with plenty of dark sugar caramelised on topâ¦,"Creamy and tangy notes of citrus, cinnamon, stewed fruits and caramel-drizzled pannacotta.","(70cl, 43%)"
Glenfarclas 30 Year Old,Glenfarclas,Scotland,Glenfarclas,Scotch Whisky,5.0,9.0,70,43,650.0,1,"Thick. Creamy sherry, buttery, spicy, malt loaf. Herbal, fresh.","Long, full, rubbery on the tail.","Rich, dark. Smoky, sherry. Sugared peels, zesty. Rubbery.","(70cl, 43%)"
Wormtub 12 Year Old Single Cask,Wormtub,Scotland,Wormtub,Scotch Whisky,5.0,2.0,70,58,74.95,0,"Plenty of sherry influence, along with toasted walnuts, spiced biltong, and dried currants.",Long and savoury.,"The sherry character is amped up, with plenty of raisins, candied citrus, spicy fruitcake, and toasted oak.","(70cl, 58.3%)"
Edradour 10 Year Old,Edradour,Scotland,Edradour,Scotch Whisky,4.0,96.0,70,40,43.9,0,"Cloying, seductive murkiness. Rum, barley, toasted almonds. Some may find themselves lost in the mÃªlÃ©e, not quite enough method to the madness.",spiced fruitcake with crÃ¨me anglaise.,"Medium, great complexity. Thoroughly fruity, sherry, sweetness, alluring vanilla.","(70cl, 40%)"
The Glenturret 12 Year Old (2021 Release),Glenturret,Scotland,Glenturret,Scotch Whisky,4.5,7.0,70,46,64.94,1,"Warming ginger, juicy sultanas with dustings of cinnamon, spiced apple crumble and zesty oak.","Toasty oak char, dry cakey spice with a silky, creamy texture.","Oily barley and toasted nuts mingle with sweet raisins, a whiff of malt loaf, and vanilla cream.","(70cl, 46%)"
Tamdhu 12 Year Old,Tamdhu,Scotland,Tamdhu,Scotch Whisky,4.5,24.0,70,43,45.9,3,"Lots of plum, juicy raisin, fried banana, raspberry jam doughnuts and oak spice.","Chocolate fudge and just a whisper of smoke, with sweet cinnamon returning.","Orange Starburst, cinnamon swirls and toasted oak, along with some mint chocolate.","(70cl, 43%)"
The Macallan 18 Year Old Sherry Oak (2022 Release),The Macallan,Scotland,The Macallan,Scotch Whisky,3.0,1.0,70,43,390.77,0,"Soft and rich, with hints of spice, clove, orange, and toasted mature oak.","Lingering with dried fruits, ginger, and orange zest.",Dried fruits and ginger with hints of vanilla and cinnamon.,"(70cl, 43%)"
Ardbeg Uigeadail,Ardbeg,Scotland,Ardbeg,Scotch Whisky,4.5,283.0,70,54,62.95,10,"Led by sweet, ripe fruit and black forest honey. A good helping of malt. The throne then usurped by a powerful peat and smoked barley.","Very long, caramel and malt weave their way through peat smoke and dark sugar and just a hint of fresh espresso coffee before it finally peters out.","Multifaceted, notes of peat and little flourishes of dark sugar, freshly ground espresso beans, cereal notes and a most sophisticated tar.","(70cl, 54.2%)"
Laphroaig 16 Year Old,Laphroaig,Scotland,Laphroaig,Scotch Whisky,4.5,6.0,70,48,89.0,0,"Still rich in peat with a touch of iodine, following by a subtle floral whisper, fresh citrus, and honeyed barley.",Coastal salinity and the last embers of a bonfire.,"Roasted nuts and burning peat, with a slow build of maple syrup on pancakes and vanilla pod.","(70cl, 48%)"
Filthy Smoke 10 Year Old,Filthy Smoke,Scotland,Filthy Smoke,Scotch Whisky,4.5,21.0,50,42,34.95,0,"Grilled tropical fruit with a touch of char, pink peppercorn, damp wood, flamed orange peel, still has that subtle spent match hint to it underneath.","Baked earth, five-spice, lasting smokiness with just a smidge of toffee apples on bonfire night.","Big, intense medicinal peat. Toasted granary bread with a later suggestion of raspberry jam, spent match, a hint of BBQ sauce sweetness and dry-rubbed ribs.","(50cl, 42.8%)"
Seaweed & Aeons & Digging & Fire & Sherry Casks 10 Year Old,Seaweed & Aeons & Digging & Fire,Scotland,Seaweed & Aeons & Digging & Fire,Scotch Whisky,5.0,3.0,70,40,44.95,0,"Cinder toffee, cinnamon, peat still shining through, a slow build of red grape and jammy raisin, with some citrus lift. A subtle touch of singed hay later on.","Meaty malt returns, with warm oak in support. The red grape tannins continue and last on the finish.","Oatcakes, vegetal peat, hot Ribena, assorted BBQ meats, molasses, clove-studded orange, and just a hint of chocolate mousse.","(70cl, 40%)"
Seaweed & Aeons & Digging & Fire & Sherry Casks & Cask Strength 10 Year Old (Batch 03),Seaweed & Aeons & Digging & Fire,Scotland,Seaweed & Aeons & Digging & Fire,Scotch Whisky,5.0,4.0,70,56,79.95,0,"Dried fruit moves to the fore on the palate, with dried cherry and chewy raisin. Still powerfully smoky. A flash of cinnamon and caraway appears later on.","Seville orange marmalade, smoky peanut shells, a smidge of charred oak, chocolatey mocha.","Waves of vegetal peat arrive first, swiftly backed up by fruit cake and chocolate notes, plus a whisper of sea shell minerality.","(70cl, 56.4%)"
Ledaig 18 Year Old,Tobermory,Scotland,Tobermory,Scotch Whisky,4.5,32.0,70,46,84.94,4,"Grassy peat with sea breeze in tow, almond butter, lemon zest, biscuit dough, honeydew melon.",Toasted barley and salty liquorice.,"Honey, baked earth with a hint of mineraly smoke, very slightly chocolatey. Orange oil and tropical fruit juice in the background.","(70cl, 46.3%)"
Ardbeg Heavy Vapours,Ardbeg,Scotland,Ardbeg,Scotch Whisky,2.5,5.0,70,46,120.0,0,"You would think Ardbeg without the purifier would come out punching, but this is a more relaxed intensity. Thick ashy smoke drifts through a palate rich with dark chocolate, apples, charred honeyed meat, and a little cumin.","Old coffee, more chocolate, smouldering wood, and minty herbs.","It's so deep and earthy Alice might think it's a route into Wonderland. There's smouldering soil and rock pool salinity (almost bordering on chlorine), as well as a minty/eucalyptus quality that develops into After Eight mints. Cardamom follows, as well as sweetness from tinned peaches and treacle, as well as a strange funkiness akin to GruyÃ¨re. Interesting stuff.","(70cl, 46%)"
Glen Scotia Double Cask,Glen Scotia,Scotland,Glen Scotia,Scotch Whisky,4.0,69.0,70,46,39.95,7,"Opens with more fudge with a little dusting of powdered sugar. Powerful, oily and a touch herbaceous with some German brandy character.",Sherried notes come through more on the finish.,"Vibrant fruit emerges first (peach flesh and green apple peels), followed by chewy vanilla fudge, a hint of salinity, then an array of oak-y spices including some char.","(70cl, 46%)"
Glenfarclas 10 Year Old,Glenfarclas,Scotland,Glenfarclas,Scotch Whisky,4.0,37.0,70,40,35.99,4,"Delicious sherry sweetness and dried fruits, with complex, delicate winter spices and fruitcake. Light toffee, and a hint of smoke.","Long, smooth, spicy and fruity, with a touch of oak.","Lots of juicy, sweet, sherry notes combined with malt and barley. Creamy hints of toffee give way to delicate honey, vanilla, and orchard fruits.","(70cl, 40%)"
Fresh Copper,Fresh Copper,Scotland,Fresh Copper,Scotch Whisky,5.0,1.0,70,55,59.95,0,"Crisp layers of sweet pastry and cinnamon sugar are enveloped with creamy vanilla and cooked orchard fruits. Tannic oak develops in time, joined by sweet dulce de leche.","Boiled sweeties arrive for the finish, alongside dried red berries and fruit tea. Woody spice nestles beneath, with robust, meaty barley and chewy toffee in tow.","Rich red apple, vibrant roasted malt, and plum sponge, drizzled with honey are backed by simnel cake and a touch of damp oak.","(70cl, 55.5%)"
Teeling Pineapple Rum Cask,Teeling,Ireland,Teeling,Irish Whiskey,4.5,3.0,70,49,45.95,0,"Meaty malt and creamy grain mingle, bringing sweet vanilla, fresh stone fruits, and a hint of herbal grist, before earthy charred oak and tangy caramelised pineapples join.","Bittersweet citrus kicks in towards the finish, tangling with prickles of cracked pepper and aromatic oak. Burnt sugar, juicy pineapple, and earthen vanilla pod linger amongst the spice.",Fruity right away with crushed pineapple and a touch of citrus leading to floral vanilla and syrupy sponge cake.,"(70cl, 49.2%)"
Mortlach 9 Year Old 2013 Father of Malt (Master of Malt),Mortlach,Scotland,Master of Malt,Scotch Whisky,0.0,0.0,70,50,49.95,0,"Oily oak and juicy barley combine gloriously, with notes of malt biscuits and sawdust before waves of rum and raisin fudge and creamy vanilla join.","Cinder toffee, apple pastries, a touch of maple syrup, and heaps of buttery oak, with vanilla, a touch of marshmallow, and soft spices trailing into the distance.","Creamy porridge oats, yellow stone fruits, fruit-studded sponge cake drizzled with syrup. A touch of minerality and leather furniture follows in the distance.","(70cl, 50%)"
Secret Highland Distillery 22 Year Old 1996 (Master of Malt),Master of Malt,Scotland,Master of Malt,Scotch Whisky,5.0,2.0,70,54,99.95,0,"Robust oak and peppery malt are accompanied by waves of crÃ¨me caramel. Juicy peach, dried tropical fruits, and honeyed prunes follow, with chewy toffees and a touch of ginger cake.","A brilliant balance of sweetness and spice, with syrup-soaked stone fruits, toasted marzipan, and hearty oaken spice.","Vibrant barley and zingy candied pineapple lead the way, with prickles of anise and clove kept in check by waves of creamy vanilla and softly toasted oak.","(70cl, 54.4%)"
Glenfiddich Grand Cru 23 Year Old,Glenfiddich,Scotland,Glenfiddich,Scotch Whisky,4.5,20.0,70,40,210.0,1,"Melted butter on rye toast, sandalwood, peach, soft peppery hints drift in later on, with just a pinch of mint.","Flaky pastry, dry malt, pear sweetness.","Brioche, banana, vanilla blossom, sugared almonds, a hint of cider, lemon peel.","(70cl, 40%)"
The GlenDronach 18 Year Old Allardice,GlenDronach,Scotland,GlenDronach,Scotch Whisky,4.5,80.0,70,46,179.99,3,"Christmas cake, rum again, chocolate-coated hazelnut, runny honey and a hint of Sauternes.","Fresh blackcurrant, blueberry pancakes with a generous helping of maple syrup.","Sherry notes so thick you need a knife to cut them! There's a hint of old rum in there too, with pineapple and brown sugar in tow.","(70cl, 46%)"
Caol Ila 12 Year Old,Caol Ila,Scotland,Caol Ila,Scotch Whisky,4.0,167.0,70,43,46.95,4,"Good body, oily, tar, elegant smoke. Hints of boiled sweets.","Long, peppery, spicy warmth, smoke.","Fresh, herbal. Rubbed peppermint leaves, stemmy, damp grass, smoky. Oily, cigar leaves, smoked ham, hickory. Lemon peels at the harbour.","(70cl, 43%)"
Balblair 15 Year Old,Balblair,Scotland,Balblair,Scotch Whisky,4.5,10.0,70,46,67.94,3,"Dried fruit and more apple, dark chocolate shavings, ginger.","CuraÃ§ao orange, dried oak, caramelised dates.","Honey-covered apple, citrus freshness, coffee and walnut cake.","(70cl, 46%)"
GlenAllachie 15 Year Old,GlenAllachie,Scotland,GlenAllachie,Scotch Whisky,4.5,47.0,70,46,66.95,0,"Walnut, raisin, Christmas spices and fresh ginger.","Coffee, Turkish delight and just a hint of flaky sea salt.","Peanut brittle, dates and a big scoop of chocolate ice cream.","(70cl, 46%)"
Tobermory 12 Year Old,Tobermory,Scotland,Tobermory,Scotch Whisky,4.5,47.0,70,46,46.95,2,"Rounded malt notes once again, now a touch oily. Still packs a hearty helping of stone fruit sweetness.","A flash of orange peel, soft sawdust, toffee and dates.","Pear, peach and apple, with a dusting of brown sugar. Greek yogurt, barley and a hint of cinnamon pastries.","(70cl, 46.3%)"
Bladnoch Vinaya,Bladnoch,Scotland,Bladnoch,Scotch Whisky,5.0,12.0,70,46,49.89,1,"Pears in chocolate sauce, bolstered by peppery oak, and more florals.","Black pepper, cinnamon, and cocoa linger.","Wafts of heather and lemon blossom, along with cut grass, and dried apple.","(70cl, 46.7%)"
The Glenturret 12 Year Old (2022 Release),Glenturret,Scotland,Glenturret,Scotch Whisky,4.5,2.0,70,46,66.94,1,"Cinnamon buns with dustings of sugar are followed by plump raisins, spiced apple, and cream-filled pastries. Gingery warmth develops alongside rich toasted oak.","Dense oak brings notes of runny caramel, rich char, and more creamy vanilla, finishing up with spiced, buttered fruit loaf and a touch of zest.","Nutty barley, vanilla custard, and fruit studded biscuits, with delicate spices building in the distance.","(70cl, 46%)"
Bunnahabhain 12 Year Old,Bunnahabhain,Scotland,Bunnahabhain,Scotch Whisky,4.5,226.0,70,46,44.95,12,"Soft, supple. Sherry, nutty. A little sweetness, malty, juicy sultana. Slightly coastal.","Sherried, mochaccino, herbal, balanced salty tang.","Fresh, sweet. Seaweed, malt.","(70cl, 46.3%)"
Wormtub 10 Year Old â Batch 2,Wormtub,Scotland,Wormtub,Scotch Whisky,4.5,18.0,70,56,49.95,0,"Through more sherried influence come flavours of salty jerky, caramel, tangy dried cranberries, and oily walnuts.",Long and rich.,"There's a distinct forest floor note as well as layers of dark chocolate, flamed orange peel, punchy cassia, and smoky oak.","(70cl, 56.8%)"
Ledaig 10 Year Old,Tobermory,Scotland,Tobermory,Scotch Whisky,4.0,108.0,70,46,42.75,17,Medium-bodied and quite rich. There are notes of spice and smoke gathering above the charred oak. The peat is quiet and dry with a touch of black pepper and earth.,Medium-length and slightly smoky with spice.,"Quite light and well-balanced. There is a very soft peat with a gentle smoke. Notes of barley and malt extract, with walnut and pine oil and a hint of iodine, dried fruit and nuts.","(70cl, 46.3%)"
Glenfarclas 15 Year Old,Glenfarclas,Scotland,Glenfarclas,Scotch Whisky,4.0,139.0,70,46,72.95,3,"Raisins, more sherry, orange peel, walnuts, dates.","Incredibly long, complex, more of the walnuts again.","Intense, powerful sherry. Cream sherry, certainly â Pedro Ximenez? almostâ¦ a touch of peppermint? An almost rancio quality to this. Smells older than 15.","(70cl, 46%)"
Yamazaki Single Malt Whisky - Distillerâs Reserve,Yamazaki,Japan,Yamazaki,Japanese Whisky,4.0,141.0,70,43,66.95,0,"The dried berries remain lively on the palate (it even develops some raspberry notes along the way), but they're dialled back a bit to make room for light oak, white peach and a small amount of spice.","Vanilla lasts and lasts, with spicy but sweet cinnamon acting as a final flourish.",Classic Yamazaki strawberries and dried fruits with floral notes coming from the Mizunara cask whisky. Fragrant sandalwood and maybe coconut. Certainly a whisky where you could get lost in its nose!,"(70cl, 43%)"
Glenmorangie Signet,Glenmorangie,Scotland,Glenmorangie,Scotch Whisky,4.5,126.0,70,46,179.99,14,"Sweet, syrupy cinnamon and drying malt lead, before a suggestion of Terry's Chocolate Orange rises. A hint of lime rind is present, as are lychees and dates. The backdrop is filled with tobacco leaves and freshly roasted espresso beans, with a little honey-roasted cashew.","The finish dries and becomes pleasantly rubbery, as a touch of truffle oil emerges.","The nose begins with chocolate raisins and sugared mixed peels. Toasted spices, bread and butter pudding and golden syrup complement these aromas, while a note of Angostura bitters lingers beneath.","(70cl, 46%)"
Glenfarclas 25 Year Old,Glenfarclas,Scotland,Glenfarclas,Scotch Whisky,4.0,89.0,70,43,225.0,2,"Incredibly clean central palate, but amazingly tangy. Really zingy top notes. Sherry and creamy barley, hints of gingerbread and nutty chocolate.","Very, very long and complex finish, oak-rich, hints of smoke, cocoa, buttery...","A touch of menthol. Classic Sherry notes, less pronounced than the 15 year old perhaps, but the complexity is greater.","(70cl, 43%)"
Balvenie DoubleWood 12 Year Old,Balvenie,Scotland,Balvenie,Scotch Whisky,4.0,242.0,70,40,46.99,11,"Sweet with good body. The bourbon characters develop; gentle spice with a little vanilla, a hint of balancing peat lurking quietly in the substrata. Dried fruit too, combining with nuts, nutmeg, cinnamon, back into the bourbon notes - so well integrated.","Spicy, slightly drying, still sweet.","Gristy, supple nuttiness intertwined with spices. Honeyed sultanas and grapes. Hugely inviting.","(70cl, 40%)"
Lagavulin Distillers Edition - 2022 Collection,Lagavulin,Scotland,Lagavulin,Scotch Whisky,4.5,2.0,70,43,89.99,0,"Coastal smoke, with some salted toffee, and more sherry character.","Oaky spices linger, with lingering peat.","Large helpings of peat are joined by dried fruit, raisins, and some vanilla sweetness.","(70cl, 43%)"
Bunnahabhain 12 Year Old Cask Strength - 2022 Edition,Bunnahabhain,Scotland,Bunnahabhain,Scotch Whisky,4.0,7.0,70,56,73.99,0,"Hazlenuts, drizzled with milk chocolate. A touch of salinity is balanced by crisp green apple, poached pear, and clove.","Salted almonds, dustings of cacao, steeped berries, and cakey spice.","Chocolate buttons, cranberries, and cherries, with dates and sultanas joining in time, bolstered by woody spice.","(70cl, 56.6%)"
Glen Scotia 11 Year Old - Campbeltown Malts Festival 2023,Glen Scotia,Scotland,Glen Scotia,Scotch Whisky,4.5,2.0,70,54,64.0,0,"Dark treacle, polished sandalwood, sticky dates, and a gentle whiff of savoury smoke to balance.","White grape and runny honey sweetness, as well as a touch of clove.","Cooked peaches, lemon blossom, spiced apple compote, and just a hint of sea-washed pebble.","(70cl, 54.7%)"
Old Pulteney 12 Year Old,Pulteney,Scotland,Pulteney,Scotch Whisky,4.0,58.0,70,40,34.25,6,"Chocolate peanuts, mint, citrus peels, maritime elements and white pepper.","Toffee, brine and lemon.","Honeycomb, vanilla tablet, soft sawdust oakiness and oatcakes.","(70cl, 40%)"
Glenkinchie 12 Year Old,Glenkinchie,Scotland,Glenkinchie,Scotch Whisky,4.0,82.0,70,43,41.95,8,"Very fruity palate with a mix of stewed fruits, dessert wine, apple peels and honey. Becomes quite oaky late palate.",A medium-length finish with barley and freshly mown grassâ¦,"A light, aromatic nose with hints of barley malt, almonds, hazelnuts and manuka honey/beeswax.","(70cl, 43%)"
Yamazaki 12 Year Old,Yamazaki,Japan,Yamazaki,Japanese Whisky,4.5,129.0,70,43,144.99,0,Smooth and soft with good sweetness and winter spice. A lovely citrus note develops with more tropical fruit notes and a little rum.,Medium with fruit and zest.,"Good body with plenty of nut oils and zest, a pleasant floral character with a little tropical fruit and a rooty note.","(70cl, 43%)"
Glenfarclas 105,Glenfarclas,Scotland,Glenfarclas,Scotch Whisky,4.0,99.0,70,60,58.0,3,"Silken, spicy and peppery oak. Almond, praline, hazelnut, dried peels, fruity. Touch of Armagnac, hint of rancio perhaps?","Long, peppery and nutty.","Great depth, Sherry. Creamy and nutty. Honey on toast, touch of smoky coffee.","(70cl, 60%)"
Fiona Macleod 33 Year Old - The Character of Islay Whisky Company,The Character of Islay Whisky Company,Scotland,The Character of Islay Whisky Company,Scotch Whisky,5.0,4.0,70,46,399.95,1,"Opens with salty iodine, damp wood smoke and develops into sweet mango and candied ginger. Develops with a briny character, citrus and dried fruits.","Sweet, barley sugar, dried pineapple and bonfires extinguished by ale.","Ripe tropical fruits with hints of barbecued banana, giving way to smoky vanilla and a pervasive peatiness.","(70cl, 46.3%)"
North British 30 Year Old 1988 (Master of Malt),North British,Scotland,Master of Malt,Scotch Whisky,0.0,0.0,70,54,78.95,0,"Cor, yeah. This'll do. Tablet and more of that rich honey. Biscoff. Cuban rum, with mustard seed, crÃ¨me caramel and leather.","Long with dark fudge, tobacco leaf and musty spices.","Honey. Is this honey? *Checks label* Nope, it's definitely whisky. Some toast in there too, and biscotti, and treacle. Yummers.","(70cl, 54.8%)"
The Macallan 12 Year Old Double Cask,The Macallan,Scotland,The Macallan,Scotch Whisky,4.0,52.0,70,40,72.36,0,"Creamy and honeyed with some thick-cut marmalade, cinnamon and warm pastries.",Fruity with vanilla and sultana.,"Classic dried fruit territory, if less intense than the Sherry Oak expression. Aromatic butterscotch too.","(70cl, 40%)"
Arran 10 Year Old,Arran,Scotland,Arran,Scotch Whisky,4.5,89.0,70,46,38.75,5,"Sweet. Quite malty, digestive biscuits, followed by green fruits and Cox's apple peel.","Slightly bitter, maltiness.","Herbal, biscuity, hedgerow greenness and dried grass, like a long English summer's afternoon.","(70cl, 46%)"
Glengoyne 12 Year Old Time Keeper Gift Pack with Glass,Glengoyne,Scotland,Glengoyne,Scotch Whisky,0.0,0.0,70,43,49.99,0,"Over-ripe grapes, honeyed with hints of vanilla, coconut milk and oak spice. Light touches of chocolate ice-cream.","Long, oily finish with lingering coffee notes.","Toffee apples, a little acacia honey, nectarine in syrup and spice, supported by toasted barley in the background.","(70cl, 43%)"
Hibiki Japanese Harmony,Hibiki,Japan,Hibiki,Japanese Whisky,4.0,103.0,70,43,79.94,0,"Melted butter and caramelised dates. A hint of fragrant sandalwood develops into warming, oak-y spice.","Brown sugar, citrus peels, white grape and black pepper.","Red berries, green apple and layers of rich honey.","(70cl, 43%)"
The Macallan 15 Year Old Double Cask,The Macallan,Scotland,The Macallan,Scotch Whisky,4.0,3.0,70,43,134.99,0,"Dried fruits galore, with a dusting of cinnamon, candied ginger and orange peel.",More warming ginger alongside a drizzle of honey and buttery caramel.,"Butterscotch and plump raisin, with spiced apple crumble and oak spice.","(70cl, 43%)"
Balvenie 21 Year Old PortWood Finish,Balvenie,Scotland,Balvenie,Scotch Whisky,4.5,99.0,70,40,198.0,10,"A gentle, subtle palate with loads of complexity. It offers up a mix of cranberries and cooked raspberries, a little white grape juice and barley.","Cocoa, slightly bitter as it tails away gracefully.",Elegant. White peach and a faint puff of smoke.,"(70cl, 40%)"
KyrÃ¶ Malt Rye Whisky,KyrÃ¶ Distillery Company,Finland,KyrÃ¶ Distillery Company,Finnish Whisky,4.0,9.0,50,47,49.95,0,"Rye bread with Seville orange marmalade, blueberry, vanilla, black pepper and another touch of dark chocolate.","The spiciness of the rye sticks around, balanced by toffee and quince.","Honeyed apricot and sultana, baked earth spiciness, a hint of chocolate and coffee hiding in there too.","(50cl, 47.2%)"
Ledaig Rioja Cask Finish - Sinclair Series,Tobermory,Scotland,Tobermory,Scotch Whisky,4.0,25.0,70,46,33.9,0,"Grassy peat, stewed plum, raspberry, almond, dark chocolate.","Salted caramel, cherry, clove.","Red grapes, cinnamon, rose petal jelly, and a wave of coastal smoke.","(70cl, 46.3%)"
The Macallan 12 Year Old Sherry Oak,The Macallan,Scotland,The Macallan,Scotch Whisky,4.0,126.0,70,40,74.95,0,"Medium-body and quite firm. There are notes of hot pastries and marmalade, sultanas and peels with a developing sweetness from the barley sugar.",Good length with a solid oaked note,Crisp and sweet. There are notes of sultanas and fresh apple blossom. There is a defined floral note followed by Sherry hints. Calvados emerges with a tropical fruit note and golden syrup.,"(70cl, 40%)"
Seaweed & Aeons & Digging & Fire 10 Year Old,Seaweed & Aeons & Digging & Fire,Scotland,Seaweed & Aeons & Digging & Fire,Scotch Whisky,4.5,113.0,70,40,37.95,4,Well-balanced but extremely forceful on delivery. The sherry makes itself known in a really good way.,Red apple sweetness gives way to oaken-vanilla goodness and fades elegantly into the embers of a chargrilled well-aged steak.,"Rich, powerful sherry with a well-integrated core of peat. Solid.","(70cl, 40%)"
Nikka Whisky From The Barrel,Nikka,Japan,Nikka,Japanese Whisky,4.0,208.0,50,51,45.95,1,"Full-bodied and punchy. There is plenty of winter spice and toffee, a little caramel and vanilla and a good mouthful of fruit.","Long, warming  and fruity with a little oaken spice.","Medium-body with good balance. There are notes of cut flowers and fresh fruits, spice and a little oak.","(50cl, 51.4%)"
Glen Scotia Victoriana Cask Strength,Glen Scotia,Scotland,Glen Scotia,Scotch Whisky,4.5,21.0,70,54,71.94,1,"More fruit forward on the nose, with dark berry juiciness at its core.",Orchard fruits dusted with dark chocolate.,"Elegantly oak-y, with notes of toasty sugar and citrus peels.","(70cl, 54.2%)"
Port Charlotte 10 Year Old,Bruichladdich,Scotland,Bruichladdich,Scotch Whisky,4.5,67.0,70,50,54.98,1,"Oak-y smoke and salty sea air, paired with sweeter notes of Custard Cream biscuits and white grape.","Ginger snaps, rye toast, drying peat smokiness.","Salted caramel brownie, flamed orange peel, a hearty whack of seaweed.","(70cl, 50%)"
GlenAllachie 18 Year Old,GlenAllachie,Scotland,GlenAllachie,Scotch Whisky,0.0,0.0,70,46,136.95,0,"Silky toffee and a pinch of dried heather lead, followed by dense, honeyed fruit cake. Forest fruits creep in, bringing with them nutty spice and old oak.","Caramelised nuts and baking spice stick around for an age, with sticky muscovado and robust, roasted barley.","Chocolate Brazil nuts and floral wafts of honey, rich, dark sugar with sweet raisins in tow.","(70cl, 46%)"
Teeling Small Batch,Teeling,Ireland,Teeling,Irish Whiskey,4.0,144.0,70,46,36.95,10,"Spiced, rich palate with rose petal jelly and lemon curd. Creamy vanilla, hints of dried herbs and cinnamon.","Floral, herbal finish. Caramel on the tail.","Cut grass and orange blossom. Allspice, hints of vanilla, apple pie and blackberries.","(70cl, 46%)"
Invergordon 42 Year Old 1973 (Master of Malt),Invergordon,Scotland,Master of Malt,Scotch Whisky,0.0,0.0,70,52,199.95,0,Honeyed banana muffins with dustings of cacao and toffee. Hints of nutmeg and dried chilli bring a layer of warmth alongside robust old oak.,"That oak lingers towards the finish, bringing woody spice and vanilla, accompanied by sweet apple sauce and crumbly fudge.","Chewy caramel and melted milk chocolate, cinnamon swirls, and chocolate shortbread lead, it's like walking into a patisserie basically. Zesty lemon curd brings a lift, with spiced fruit loaf joining along the way.","(70cl, 52.3%)"
KyrÃ¶ Wood Smoke Malt Rye Whisky,KyrÃ¶ Distillery Company,Finland,KyrÃ¶ Distillery Company,Finnish Whisky,4.5,4.0,50,47,49.95,0,"Vanilla, more pepper, orange oil, a slow build of dry smoke with a little meaty heft behind it.","A long finish, with the smoke taking the spotlight.","Forest floor earthiness, joined by whiffs of Sichuan pepper and freshly baked rye bread with butter.","(50cl, 47.2%)"
Butterscotch & Vanilla & Toast & A Generation 30 Year Old,Butterscotch & Vanilla & Toast & a Generation,Scotland,Butterscotch & Vanilla & Toast & a Generation,Scotch Whisky,4.5,13.0,70,40,64.95,0,"Thick with rich butterscotch, freshly baked cookies dotted with chocolate chunks, slightly peppery at points with a dry hint of toasted cedar.","Waxy peels from the nose return, with layers of vanilla, cinnamon, gingerbread, and treacle for company.","Honeycomb, red grapes, immensely buttery, Golden Grahams, a smidge of waxy orange peel, polished oak, and a touch of floral spring breeze.","(70cl, 40%)"
Dalwhinnie 15 Year Old,Dalwhinnie,Scotland,Dalwhinnie,Scotch Whisky,4.0,242.0,70,43,44.95,6,Malty. Walnuts steeped in manuka honey with vanilla sponge. Gentle smoke weaves its way through the cereal with a touch of spice.,"Long, malty, walnut, almond.","Aromatic, toffee, fruit salad, lush nectarine, custard. Floral, apple blossom, honeysuckle. Apple peels, pear, touch of smoke.","(70cl, 43%)"
Weeknight Whisky Islay 8 Year Old,Weeknight Whisky,Scotland,Weeknight Whisky,Scotch Whisky,5.0,2.0,70,40,29.95,0,"Punchy peat still at the fore, surrounded by warm vanilla and continued hints of raisin.",Dry cooking spices and brown sugar.,"Earthy peat smoke with hay and roasted malt notes, joined by a smidge of dried fruit.","(70cl, 40%)"
Secret Islay Distillery 31 Year Old 1990 Single Cask (Master of Malt),Master of Malt,Scotland,Master of Malt,Scotch Whisky,5.0,1.0,70,52,299.95,0,"Crunchy brown sugar, ash, vanilla cheesecake, and a complex blend of sweetened coffee and Christmas pudding fruit. Underneath thereâs oak char and a little damp wooden furniture.",Lemon cough sweets and whispers of smoke.,"Sea air, streaky bacon, rich smoke, lemon peels, and thyme honey with toasted almonds, soft vanilla, and drying peppery spice.","(70cl, 52.6%)"
